VIRUS_ID,X,Y,OL,NEURON,UNKNOWN
1,185,21,1,,
2,188,453,,,1
3,356,448,1,,
4,489,394,,,1
5,401,772,1,,
6,702,485,1,,
7,708,416,1,,
8,881,137,1,,
9,1307,16,1,,
10,1421,97,1,,
11,982,377,1,,
12,1051,405,1,,
13,1137,432,,,1
14,1098,614,1,,
15,1082,714,1,,
16,1275,872,1,,
17,1880,976,1,,
18,1900,909,1,,
19,1635,1157,1,,
20,1492,1104,1,,
21,1286,1252,,1,
22,1542,1362,1,,
23,1515,1514,,,1
24,1196,1530,1,,
25,1842,1378,1,,
26,1999,1655,1,,
27,1791,1514,,,1
28,1690,1711,1,,
29,1604,1724,1,,
30,1320,1992,1,,
31,1262,1979,,,1
32,1243,1811,,,1
33,1284,1740,,,1
34,1227,1660,,,1
35,1512,1587,1,,
36,1127,1799,,,1
37,982,1815,1,,
38,891,1606,1,,
39,1109,1543,1,,
40,678,1674,,,1
41,782,1455,1,,
42,749,1287,1,,
43,825,1202,,1,
44,1183,1215,,,1
45,1261,1175,,,1
46,62,1436,1,,
47,825,1768,1,,
48,778,931,1,,
49,734,979,1,,
50,586,1050,,,1
51,1131,1058,,,1
